PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Gen	Inac	Phen	V14
A001	-7.04388539455023	-32.1780132825013	23.9604203782962	-29.8166996436084	7.9355040177834	-14.6350682634041	12.7492230565937	-9.32706331566884	13.5335492307143	-1.10361216510535	S1	trt	Sus	S1+trt
A002	-2.97858829800602	-32.8865403406879	27.9270325124623	-29.5333700812697	18.7911198755793	-13.2246359661331	7.0489727530619	-2.26562909676991	-6.62625031895002	-1.33774948538945	S1	trt	Sus	S1+trt
A003	6.69331873902727	-25.7762569589411	15.0859350320927	-33.0979274324751	-11.959099892032	4.13975463570583	11.5900738410745	6.57543859162008	-3.95455265390173	5.10703210581329	S1	trt	Sus	S1+trt
A007	18.1994858395758	-27.495977940138	-34.6266413324057	17.6701131329723	9.38873769301866	-3.85773755272409	-10.9169642929784	18.0712395130328	0.580203666686902	-2.79878173187202	S2	trt	Sus	S2+trt
A008	14.5647560495365	-25.4825649857356	-34.0651169953027	15.7482476155571	-6.16529837538912	-3.0375826040183	0.141319748516568	8.96464590730795	6.85707187360198	-9.06864895235011	S2	trt	Sus	S2+trt
A009	20.7255893132809	-31.3542476331822	-34.8827276901345	18.0106249099927	5.04539873747374	-0.534996872110386	9.67659162654058	13.5652533464728	8.73096584715573	20.9107318428853	S2	trt	Sus	S2+trt
A010	-72	9	-9.30896775096017	-0.785619998301558	-2.21825055900788	-10.0822710253039	-6.94870916252679	8.96795553666398	-6.62275182862001	0.840772279761991	R1	trt	Res	R1+trt
A011	-72.65	11.7381075658939	-13.6881328189723	-1.47122342850852	-14.4864292929624	-7.90091701939995	-1.78695623567405	7.56725337689095	-6.51028724054753	3.2891986632126	R1	trt	Res	R1+trt
A012	-41.2253843494618	0.361105849994957	1.0650666304633	5.03028574234968	24.5376871827748	13.7455366633945	6.06832148727816	1.57694016608577	-0.619555023731255	-3.332589175555	R1	untrt	Res	R1+untrt
A013	-10.728700279208	8.07363829604276	24.5581294487891	23.2819204986461	-34.6112349503624	-7.65536647515059	7.93628579647046	-4.41392156274592	17.3763952851546	-4.21552557441693	R2	trt	Res	R2+trt
A014	5.21960310031401	-0.103341448285198	31.4930440281854	27.4437599355312	-23.147511228981	1.45697667472695	19.74290073395	13.9656784867759	-1.35241573901327	-6.27181545527002	R2	trt	Res	R2+trt
A015	10.3027076325957	0.487610773116742	32.9845744771321	27.9202206067238	-4.78715222465358	-1.26333992443687	4.88886919544866	8.22264228717873	0.644098250432162	2.32165159680667	R2	trt	Res	R2+trt
A016	9.65961334764436	38.1860274713881	-8.43872790334989	-10.1983684644026	0.0121617543744758	-14.5861043715935	4.95230860327704	-2.70047697041708	3.82370024925337	-9.45397056074477	R3	trt	Res	R3+trt
A017	25.6342367786693	37.2477575070125	-5.41032902914921	-9.34748171217037	10.2302254843062	-5.98355541090467	3.57471755048449	10.3662611899446	-7.60294579879253	-10.7023930025631	R3	trt	Res	R3+trt
A018	24.6353196671705	34.5952067340929	-6.60965415629477	-9.05601044675148	17.4349444144186	-8.84408917118254	-1.53509364107424	11.8964337179069	-1.02017939215358	-2.60600786793809	R3	trt	Res	R3+trt
