MainOTU_ID	Kingdom	Division	class	order	family	genus	species
OTU123	Fungi	Ascomycota	Sordariomycetes	Xylariales	unidentified	unidentified	Xylariales_sp_SH16489378FU
OTU136	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Truncatella	NULL
OTU81	Fungi	Basidiomycota	Tremellomycetes	NULL	NULL	NULL	NULL
OTU189	Fungi	Basidiomycota	Tremellomycetes	NULL	NULL	NULL	NULL
OTU9	Fungi	Basidiomycota	Tremellomycetes	NULL	NULL	NULL	NULL
OTU53	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NULL	NULL	NULL
OTU36	Fungi	Basidiomycota	Tremellomycetes	Tremellales	unidentified	unidentified	Tremellales_sp_SH16508018FU
OTU191	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Bullera	Bullera_crocea_SH16097738FU
OTU37	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Bullera	Bullera_unica_SH15745298FU
OTU60	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NULL	NULL	NULL
OTU42	Fungi	Basidiomycota	Tremellomycetes	Tremellales	unidentified	unidentified	Tremellales_sp_SH11921768FU
OTU76	Fungi	Basidiomycota	Tremellomycetes	Tremellales	unidentified	unidentified	NULL
OTU80	Fungi	Basidiomycota	Tremellomycetes	Tremellales	unidentified	unidentified	NULL
OTU50	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NULL	NULL	NULL
OTU177	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	unidentified	Teratosphaeriaceae_sp_SH12318498FU
OTU24	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina_tormentillae_SH15199328FU
OTU26	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina_carpini_SH15199348FU
OTU69	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Sydowia	Sydowia_polyspora_SH15150718FU
OTU20	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Symmetrosporaceae	Symmetrospora	Symmetrospora_gracilis_SH16134748FU
OTU7	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_sp_SH12403558FU
OTU21	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_roseus_SH15751268FU
OTU22	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Symmetrosporaceae	Symmetrospora	Symmetrospora_coprosmae_SH20443138FU
OTU40	Fungi	Ascomycota	Sordariomycetes	NULL	NULL	NULL	NULL
OTU131	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	Sordaria_fimicola_SH18767448FU
OTU167	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	NULL
OTU114	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	Sclerostagonospora_sp_SH15553228FU
OTU19	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	Rhodosporidiobolus_colostri_SH15587368FU
OTU173	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	NULL
OTU181	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	NULL
OTU154	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	Pyrenochaetopsis_leptospora_SH15250868FU
OTU41	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pseudorobillarda	NULL
OTU59	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Protomycetaceae	Protomyces	Protomyces_inouyei_SH16472318FU
OTU187	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Podosphaera	NULL
OTU139	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales_sp_SH15242768FU
OTU113	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales_sp_SH15250978FU
OTU88	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales_sp_SH16433368FU
OTU150	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales_sp_SH16463218FU
OTU85	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales_sp_SH15731918FU
OTU94	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales_sp_SH16462198FU
OTU132	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales_sp_SH15254648FU
OTU110	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales_sp_SH16433378FU
OTU68	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	unidentified	Pleosporaceae_sp_SH15757088FU
OTU125	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus_biglobosus_SH15521738FU
OTU198	Fungi	Ascomycota	Leotiomycetes	Helotiales	Chaetomellaceae	Pilidium	Pilidium_concavum_SH16128648FU
OTU105	Fungi	Ascomycota	Sordariomycetes	Phomatosporales	Phomatosporaceae	Phomatospora	Phomatospora_dinemasporium_SH15535008FU
OTU103	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	unidentified	Phaeosphaeriaceae_sp_SH16433488FU
OTU140	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_sp_SH11564788FU
OTU79	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NULL	NULL
OTU78	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	Phaeococcomyces_sp_SH15734748FU
OTU147	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Oculimacula	Oculimacula_sp_SH15458888FU
OTU35	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia_sp_SH11919188FU
OTU62	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	NULL
OTU137	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	NULL	NULL
OTU67	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NULL	NULL
OTU65	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NULL	NULL
OTU11	Fungi	Basidiomycota	Tremellomycetes	NULL	NULL	NULL	NULL
OTU10	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma	NULL
OTU161	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota_sp_SH12371358FU
OTU155	Fungi	Ascomycota	NULL	NULL	NULL	NULL	NULL
OTU169	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Fungi_sp_SH12371458FU
OTU49	Fungi	Ascomycota	NULL	NULL	NULL	NULL	NULL
OTU44	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Fungi_sp_SH16409928FU
OTU102	Fungi	Ascomycota	NULL	NULL	NULL	NULL	NULL
OTU57	Fungi	Ascomycota	NULL	NULL	NULL	NULL	NULL
OTU91	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota_sp_SH15437178FU
OTU152	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota_sp_SH16488018FU
OTU29	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Fungi_sp_SH12412188FU
OTU172	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Fungi_sp_SH16485748FU
OTU70	Fungi	Ascomycota	NULL	NULL	NULL	NULL	NULL
OTU148	Fungi	Ascomycota	NULL	NULL	NULL	NULL	NULL
3OTU4	Fungi	Ascomycota	NULL	NULL	NULL	NULL	NULL
OTU157	Fungi	Ascomycota	NULL	NULL	NULL	NULL	NULL
2OTU5	Fungi	Ascomycota	NULL	NULL	NULL	NULL	NULL
2OTU14	Fungi	Ascomycota	NULL	NULL	NULL	NULL	NULL
OTU90	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	unidentified	Mycosphaerellaceae_sp_SH11941058FU
OTU82	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zymoseptoria	NULL
OTU83	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria_halophila_SH15774818FU
OTU84	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	NULL	NULL
OTU38	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	unidentified	Chrysozymaceae_sp_SH12466608FU
OTU12	Fungi	Basidiomycota	Microbotryomycetes	NULL	NULL	NULL	NULL
OTU170	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	Lophodermium	Lophodermium_pinastri_SH15880368FU
OTU2	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Limonomyces	Limonomyces_sp_SH12442608FU
OTU14	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_golubevii_SH16513728FU
OTU16	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	NULL
OTU18	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	NULL
3OTU3	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	unidentified	Leucosporidiaceae_sp_SH16513908FU
OTU138	Fungi	Ascomycota	Leotiomycetes	NULL	NULL	NULL	NULL
OTU145	Fungi	Ascomycota	Leotiomycetes	NULL	NULL	NULL	NULL
OTU175	Fungi	Ascomycota	Leotiomycetes	NULL	NULL	NULL	NULL
2OTU16	Fungi	Ascomycota	Leotiomycetes	Phacidiales	Phacidiaceae	NULL	NULL
OTU64	Fungi	Ascomycota	Lecanoromycetes	NULL	NULL	NULL	NULL
3OTU13	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NULL	NULL
OTU51	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia_sp_SH15171498FU
OTU121	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Hypogymnia	Hypogymnia_physodes_SH15502858FU
OTU61	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	Hypocreales_sp_SH11690388FU
OTU47	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NULL	NULL	NULL
OTU55	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	NULL	NULL
OTU46	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NULL	NULL	NULL
OTU32	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NULL	NULL	NULL
OTU54	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	NULL	NULL
OTU165	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	NULL	NULL
OTU8	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Heterocephalacria	NULL
OTU153	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	NULL	NULL
OTU146	Fungi	Ascomycota	Leotiomycetes	Helotiales	NULL	NULL	NULL
OTU162	Fungi	Ascomycota	Leotiomycetes	Helotiales	NULL	NULL	NULL
OTU171	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	Helotiales_sp_SH15459188FU
OTU186	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	unidentified	Helotiaceae_sp_SH12404098FU
OTU180	Fungi	Ascomycota	Leotiomycetes	Helotiales	NULL	NULL	NULL
OTU168	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	NULL	NULL
OTU166	Fungi	Ascomycota	Leotiomycetes	Helotiales	NULL	NULL	NULL
OTU151	Fungi	Ascomycota	Leotiomycetes	Helotiales	NULL	NULL	NULL
OTU52	Fungi	Ascomycota	Sordariomycetes	Microascales	Halosphaeriaceae	unidentified	Halosphaeriaceae_sp_SH15764308FU
OTU72	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Gnomoniopsis	NULL
OTU74	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	NULL	NULL
OTU6	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_wieringae_SH16316138FU
OTU3	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	NULL
OTU23	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium	Exobasidium_arescens_SH15144378FU
OTU31	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium	NULL
OTU43	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe_sp_SH17322058FU
OTU178	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Extremaceae	NULL	NULL
OTU159	Fungi	Ascomycota	Dothideomycetes	NULL	NULL	NULL	NULL
OTU106	Fungi	Ascomycota	Dothideomycetes	NULL	NULL	NULL	NULL
2OTU11	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	Dothideomycetes_sp_SH16433448FU
OTU112	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NULL	NULL	NULL
OTU118	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NULL	NULL	NULL
